id,nom_ecole,created_at,created_by
000735e6-6cbc-4ed4-aec7-eca71c5cd301,ECOLE AUGUSTE,2025-07-13 15:06:07.465441+00,55b68df0-e0d9-4e9c-9b5f-298d449904b6
018c9dbf-9325-431f-af94-04cba4f47814,ECOLE AL MANAR,2025-07-11 13:27:42.110026+00,55b68df0-e0d9-4e9c-9b5f-298d449904b6
12ea77de-5fbd-4de9-a274-3e76e54c242d,ECOLE JACQUES LACAN,2025-07-10 14:30:12.157509+00,55b68df0-e0d9-4e9c-9b5f-298d449904b6
36b67255-4080-4d41-a03c-27cca82d0a60,ECOLE JOURI,2025-07-10 08:53:21.694063+00,55b68df0-e0d9-4e9c-9b5f-298d449904b6
3d829a42-a7ad-4754-8b07-f17f5354bcd2,ECOLE SOFIA,2025-07-11 23:13:17.122996+00,55b68df0-e0d9-4e9c-9b5f-298d449904b6
3da06b89-bc1f-4b20-a853-54c2a47132ec,ECOLE AL MAWAKEB,2025-07-08 22:56:30.796545+00,55b68df0-e0d9-4e9c-9b5f-298d449904b6
64348448-6cf5-4c8d-bfbb-9d6a75721d2a,"ECOLE AFWAJ ",2025-07-10 15:09:48.394854+00,55b68df0-e0d9-4e9c-9b5f-298d449904b6
6bcdf60d-720f-4224-a2d5-1f375326ae50,ECOLE EXCEL ACADEMY,2025-07-15 14:27:04.135269+00,55b68df0-e0d9-4e9c-9b5f-298d449904b6
7815d7fb-4352-449c-83bc-4d11343310db,"ECOLE AFAK AJAIL ",2025-07-10 15:47:12.310621+00,55b68df0-e0d9-4e9c-9b5f-298d449904b6
860acaf4-6d06-4c11-a334-f7f909a28f8e,"ECOLE ELLA MAILLART ",2025-07-07 18:33:54.293131+00,55b68df0-e0d9-4e9c-9b5f-298d449904b6
9991b6a0-3f39-4632-9379-7215c8dcb6d2,ECOLE 2 PALMIERS,2025-07-13 22:57:43.009974+00,55b68df0-e0d9-4e9c-9b5f-298d449904b6
9b71af62-6599-4afa-acc8-39c63a44faca,ECOLE NOUR AL MANAR,2025-07-09 09:10:23.883906+00,55b68df0-e0d9-4e9c-9b5f-298d449904b6
9ea86c9a-29ab-4535-b899-6a9a485324f6,ECOLE HILALI TARGA,2025-07-12 13:54:35.454456+00,55b68df0-e0d9-4e9c-9b5f-298d449904b6
a4778081-91c2-4f1c-b6ae-b07d3ff9acf1,ECOLE EL AMRANI,2025-07-10 18:27:59.763404+00,55b68df0-e0d9-4e9c-9b5f-298d449904b6
b3230184-1d4a-4ea1-84dd-265372b68028,ECOLE ELBILIA,2025-07-09 22:52:26.982542+00,55b68df0-e0d9-4e9c-9b5f-298d449904b6
c658d399-7800-40d8-a6a5-83599008c648,ECOLE AL JALIL,2025-07-16 11:43:34.387714+00,55b68df0-e0d9-4e9c-9b5f-298d449904b6
cbce97cc-cf12-43a1-af61-64a309f33f39,ECOLE LA SAADIA,2025-07-09 14:25:30.536115+00,55b68df0-e0d9-4e9c-9b5f-298d449904b6
d566e7e3-fe21-47b4-9ff2-3fdcfa4bb964,ECOLE TARGA,2025-07-07 22:18:14.819553+00,55b68df0-e0d9-4e9c-9b5f-298d449904b6
e08b711e-5082-4a92-bee1-55f3d795f8f2,ECOLE NIDAL,2025-07-09 13:28:14.408374+00,55b68df0-e0d9-4e9c-9b5f-298d449904b6
ebb40987-ac62-4bcb-8b30-a626cb136ab6,ECOLE AL HIKMA,2025-07-10 12:22:25.220562+00,55b68df0-e0d9-4e9c-9b5f-298d449904b6
